customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0178,Female,0,No,Yes,33,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,97.17,3444.7,Yes
C0179,Female,0,Yes,Yes,34,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,88.76,3461.94,No
C0180,Female,1,No,Yes,47,No,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,31.85,4880.83,No
C0181,Male,1,Yes,Yes,26,No,No phone service,No,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,80.04,253.66,No
C0182,Male,1,No,No,8,No,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Two year,No,Bank transfer (automatic),97.24,8142.62,No
C0183,Female,0,No,Yes,61,No,No phone service,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,No,Electronic check,106.28,2476.98,No
C0184,Male,0,No,No,4,No,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,One year,No,Electronic check,43.12,1213.04,No
C0185,Male,0,Yes,No,41,No,No phone service,No,No internet service,No internet service,No,No,No,No,Two year,No,Mailed check,31.0,64.55,No
C0186,Male,0,Yes,No,19,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),97.67,7286.15,No
C0187,Male,1,Yes,Yes,16,Yes,No phone service,DSL,Yes,Yes,No,Yes,No,No internet service,Two year,No,Credit card (automatic),44.17,7339.72,No
C0188,Male,1,Yes,Yes,3,No,Yes,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,21.26,826.39,No
C0189,Male,0,No,No,64,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,No internet service,Two year,No,Electronic check,102.17,1309.31,No
C0190,Female,0,Yes,Yes,31,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,69.61,3817.11,No
C0191,Female,0,Yes,No,25,No,Yes,No,Yes,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),51.32,1593.14,No
C0192,Female,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,One year,No,Mailed check,19.17,6259.23,Yes
C0193,Male,1,Yes,Yes,3,Yes,Yes,No,No,No,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,21.6,510.29,Yes
C0194,Female,1,No,No,41,Yes,Yes,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),98.85,4680.63,No
C0195,Male,1,No,Yes,36,Yes,No,No,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),67.95,3264.84,Yes
C0196,Male,1,Yes,Yes,40,No,No,DSL,No,No internet service,No,Yes,Yes,No,Month-to-month,No,Mailed check,33.27,3961.68,No
C0197,Male,1,No,No,9,No,Yes,No,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,54.57,3620.79,No
C0198,Male,1,No,No,68,No,Yes,DSL,No,Yes,No internet service,No,No,Yes,Two year,Yes,Electronic check,34.86,1317.1,No
C0199,Female,1,Yes,Yes,17,No,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),29.51,1886.43,No
C0200,Male,1,Yes,No,49,Yes,No phone service,No,No,No,Yes,No internet service,No,No,Two year,Yes,Credit card (automatic),46.18,567.7,No
C0201,Female,0,Yes,No,54,Yes,No phone service,DSL,Yes,No,No,No,No,Yes,One year,No,Electronic check,74.05,995.85,No
C0202,Male,1,Yes,No,25,No,Yes,DSL,No,No,No internet service,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.42,8312.5,Yes
C0203,Female,1,Yes,Yes,10,No,Yes,DSL,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,53.05,2391.15,No
C0204,Male,1,Yes,Yes,22,No,Yes,DSL,No,No,No internet service,Yes,No,No internet service,Two year,Yes,Mailed check,66.75,2622.19,Yes
C0205,Male,1,No,No,58,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),60.84,1096.12,No
C0206,Female,1,Yes,No,65,No,No phone service,No,No,No,No internet service,No,Yes,No,Two year,Yes,Electronic check,31.12,6423.3,No
C0207,Female,1,No,No,67,No,No phone service,DSL,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),21.96,7856.58,No
C0208,Male,0,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,21.62,6716.66,No
C0209,Female,1,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),53.72,5214.21,No
C0210,Male,1,No,No,11,Yes,Yes,No,No internet service,No internet service,Yes,No,No internet service,Yes,One year,Yes,Mailed check,91.32,6915.84,No
C0211,Female,1,No,Yes,51,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,31.39,3446.68,No
C0212,Female,0,No,Yes,30,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,No,Credit card (automatic),98.27,7308.26,No
C0213,Male,1,Yes,No,51,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,91.0,6791.04,Yes
C0214,Female,0,Yes,No,49,No,No phone service,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Credit card (automatic),18.4,32.63,No
C0215,Male,0,Yes,Yes,71,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),20.73,4155.47,No
C0216,Male,1,Yes,Yes,35,No,No,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,37.89,2262.48,No
C0217,Male,1,No,Yes,25,No,Yes,DSL,No internet service,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),23.72,749.43,No
C0218,Male,1,Yes,No,38,Yes,Yes,DSL,No,Yes,No internet service,Yes,No internet service,Yes,One year,No,Mailed check,72.2,7195.43,Yes
C0219,Female,0,Yes,Yes,12,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),22.04,85.43,No
C0220,Male,1,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),99.87,6211.25,Yes
C0221,Male,1,Yes,Yes,37,No,Yes,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,Two year,No,Mailed check,68.28,8399.85,No
C0222,Female,1,Yes,No,59,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),92.25,4106.49,Yes
C0223,Male,1,Yes,No,38,No,Yes,DSL,No internet service,Yes,No,No internet service,No,Yes,One year,No,Mailed check,94.57,3166.86,Yes
C0224,Female,0,Yes,No,56,No,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No,Two year,Yes,Credit card (automatic),69.69,5156.68,No
C0225,Male,1,No,No,13,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,No,Credit card (automatic),112.39,6843.45,No
C0226,Female,0,No,No,32,Yes,No,DSL,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,119.0,2055.82,No
C0227,Female,1,No,Yes,44,No,No,No,No,No,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),54.64,2144.45,No
C0228,Female,0,Yes,No,25,Yes,Yes,No,No,No internet service,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),30.84,5168.08,No
C0229,Male,0,No,No,2,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,55.05,7990.06,No
C0230,Male,1,No,No,6,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),40.78,2549.37,No
C0231,Female,1,Yes,Yes,66,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,No,Credit card (automatic),72.16,3213.63,Yes
C0232,Male,1,No,No,43,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,56.6,8443.45,No
C0233,Female,1,Yes,Yes,19,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),67.01,1512.72,No
C0234,Male,1,No,No,19,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,One year,No,Credit card (automatic),95.85,670.84,Yes
C0235,Female,0,No,No,3,No,No phone service,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,45.95,5020.3,No
C0236,Female,0,Yes,Yes,68,No,No phone service,No,No internet service,No,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,72.82,223.83,No
C0237,Male,0,Yes,No,8,No,Yes,DSL,Yes,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,52.19,1548.43,No
C0238,Male,0,Yes,No,54,No,No phone service,DSL,No,No,No,No internet service,No,Yes,Month-to-month,No,Mailed check,98.07,5295.58,No
C0239,Female,0,No,Yes,18,No,Yes,No,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),83.23,5611.98,No
C0240,Male,1,Yes,Yes,24,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Two year,No,Mailed check,18.87,4347.43,No
C0241,Female,1,No,Yes,20,No,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,One year,Yes,Mailed check,85.33,3272.95,No
C0242,Male,1,Yes,No,59,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),35.36,4905.31,Yes
C0243,Female,0,Yes,No,3,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),91.9,5475.2,No
C0244,Female,1,No,No,26,Yes,No phone service,No,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.87,6833.13,No
C0245,Male,1,No,No,20,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),58.95,6742.11,No
C0246,Female,1,No,No,20,No,No phone service,DSL,No,No internet service,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),88.79,5656.84,No
C0247,Male,0,Yes,Yes,14,No,No,No,No,No internet service,No,No,No,No,Two year,Yes,Electronic check,105.37,7602.88,No
C0248,Female,0,Yes,Yes,65,No,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),97.43,7126.13,No
C0249,Male,1,Yes,Yes,27,No,Yes,No,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.63,1148.19,Yes
C0250,Male,0,No,Yes,30,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,91.71,8132.56,No
C0251,Male,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,60.22,7581.76,Yes
C0252,Male,0,Yes,Yes,70,No,Yes,No,Yes,Yes,No,No,No,No internet service,Two year,Yes,Mailed check,98.48,2740.1,No
C0253,Male,1,No,Yes,25,No,No,No,No,No internet service,No,No internet service,Yes,No,Month-to-month,No,Mailed check,102.56,189.2,Yes
C0254,Female,1,Yes,Yes,25,Yes,Yes,DSL,No internet service,No internet service,Yes,No,No internet service,No,Two year,No,Credit card (automatic),32.0,5140.92,No
C0255,Male,0,No,Yes,24,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),42.28,3736.66,No
C0256,Female,0,No,Yes,24,Yes,No,No,No,No,No internet service,Yes,No internet service,No,Two year,No,Electronic check,45.54,6375.82,No
C0257,Male,1,No,Yes,7,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),34.94,4467.66,No
C0258,Male,1,Yes,No,43,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),58.04,666.79,No
C0259,Female,1,No,Yes,2,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,37.69,2093.44,No
C0260,Female,0,Yes,Yes,17,No,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),78.75,7503.57,Yes
C0261,Male,1,No,Yes,15,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),28.36,337.68,No
C0262,Male,0,Yes,No,21,No,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Credit card (automatic),45.53,6266.43,Yes
C0263,Female,1,No,No,54,Yes,No phone service,No,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),85.88,2494.26,No
C0264,Female,0,Yes,No,43,No,No,Fiber optic,Yes,No,No,No internet service,Yes,No,Two year,No,Electronic check,58.65,3857.29,No
C0265,Female,0,Yes,No,71,No,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),60.99,4521.99,No
C0266,Male,0,No,No,25,No,No phone service,No,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,99.39,2139.19,Yes
C0267,Male,0,No,No,66,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),118.42,5547.93,No
C0268,Female,1,Yes,Yes,4,No,Yes,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.64,5899.78,No
C0269,Female,0,No,No,36,No,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,26.06,739.47,No
C0270,Male,0,Yes,Yes,57,Yes,No,DSL,No,No internet service,No internet service,No,No internet service,No,One year,No,Electronic check,28.5,3189.65,Yes
C0271,Male,0,Yes,Yes,38,Yes,No phone service,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,116.79,6331.81,No
C0272,Male,1,Yes,No,67,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,No,One year,No,Mailed check,87.28,6138.93,No
C0273,Female,1,Yes,Yes,23,Yes,No phone service,No,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),94.75,4637.33,No
C0274,Male,1,Yes,Yes,3,No,No,DSL,Yes,Yes,Yes,Yes,No,No internet service,One year,No,Electronic check,86.93,6614.24,Yes
C0275,Male,1,Yes,No,55,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,36.32,931.04,No
C0276,Male,1,Yes,Yes,5,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,63.73,1020.67,No
C0277,Female,1,Yes,Yes,55,No,No phone service,No,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,No,Credit card (automatic),99.4,5594.82,No
C0278,Male,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,Two year,Yes,Mailed check,106.37,5898.86,No
C0279,Male,1,No,No,60,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Mailed check,42.21,6926.82,No
C0280,Male,1,No,Yes,35,No,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,78.79,1553.55,No
C0281,Male,1,Yes,No,64,No,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,34.02,4401.26,No
C0282,Female,0,Yes,No,13,No,No,No,Yes,Yes,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,115.74,5623.17,Yes
C0283,Male,1,No,Yes,31,No,Yes,DSL,No,Yes,No,No internet service,Yes,No internet service,Two year,No,Mailed check,43.72,1915.42,Yes
C0284,Male,0,No,Yes,9,No,No,DSL,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,92.12,4402.58,No
C0285,Female,0,No,Yes,55,No,No phone service,No,Yes,No,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,41.57,5433.29,No
C0286,Male,1,No,Yes,51,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,One year,No,Bank transfer (automatic),80.84,1836.96,No
C0287,Female,0,No,Yes,58,No,Yes,DSL,No,Yes,No internet service,No,No,No,Month-to-month,No,Mailed check,85.24,3203.53,Yes
C0288,Female,0,No,Yes,55,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Two year,No,Credit card (automatic),51.5,1852.99,Yes
C0289,Male,1,Yes,Yes,22,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),101.52,7676.76,Yes
C0290,Female,0,Yes,Yes,5,No,No,No,No,No,Yes,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),108.31,2026.53,No
C0291,Male,1,Yes,Yes,66,No,No,No,Yes,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),105.22,1042.92,No
C0292,Female,0,Yes,Yes,35,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),51.74,316.19,No
C0293,Male,0,No,Yes,7,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,93.92,399.3,No
C0294,Female,1,No,Yes,66,No,Yes,DSL,Yes,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),75.07,1643.03,Yes
C0295,Female,1,No,No,71,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,78.45,5176.82,No
C0296,Female,0,Yes,Yes,32,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,No,Electronic check,66.7,167.71,Yes
C0297,Male,1,Yes,No,55,No,No phone service,DSL,No,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),79.23,2450.16,No
C0298,Male,1,Yes,No,3,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),31.84,511.37,No
C0299,Male,0,No,No,7,No,Yes,No,No,No,Yes,Yes,No internet service,Yes,One year,No,Electronic check,59.7,3441.83,No
C0300,Male,1,Yes,No,20,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.12,430.03,Yes
C0301,Female,0,Yes,Yes,47,No,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,No,One year,No,Bank transfer (automatic),46.57,5171.17,Yes
C0302,Male,1,No,No,10,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,31.04,5857.21,No
C0303,Female,1,No,Yes,3,Yes,No,DSL,No,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.67,6221.21,Yes
C0304,Female,1,No,Yes,48,Yes,Yes,No,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.76,1920.88,No
C0305,Male,1,Yes,Yes,55,No,No,DSL,No,Yes,No,No,No,No internet service,Two year,No,Bank transfer (automatic),74.08,7384.62,No
C0306,Male,0,Yes,Yes,53,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),20.41,5873.02,No
C0307,Female,0,Yes,Yes,57,No,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),98.43,498.51,No
C0308,Male,0,Yes,Yes,58,Yes,No,No,No internet service,No,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,110.77,3756.58,Yes
C0309,Male,1,No,No,43,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),107.8,6530.11,No
C0310,Female,1,Yes,No,37,No,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,101.95,2655.0,No
C0311,Female,0,Yes,Yes,61,No,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),119.21,3254.38,No
C0312,Male,1,No,No,25,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,One year,Yes,Mailed check,77.81,5358.3,No
C0313,Male,1,Yes,Yes,7,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No,Two year,No,Credit card (automatic),116.18,488.59,No
C0314,Male,1,Yes,Yes,54,Yes,No phone service,No,Yes,Yes,No,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),114.78,8219.54,Yes
C0315,Female,0,Yes,No,20,No,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Two year,No,Electronic check,49.95,1497.95,Yes
C0316,Female,1,Yes,No,70,No,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),106.07,244.23,No
C0317,Female,1,Yes,Yes,30,Yes,No phone service,No,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,98.83,63.15,No
C0318,Female,0,No,Yes,61,No,No,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,97.13,3407.02,Yes
C0319,Female,0,No,Yes,4,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Mailed check,109.42,7518.24,No
C0320,Male,0,Yes,Yes,47,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),57.19,6971.22,No
C0321,Male,0,Yes,Yes,32,No,No phone service,DSL,No,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,58.81,7753.97,Yes
C0322,Female,1,Yes,No,33,No,Yes,No,No,No internet service,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),83.29,4545.54,Yes
C0323,Female,1,No,No,19,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No,No internet service,One year,No,Bank transfer (automatic),93.26,3824.27,No
C0324,Female,1,No,Yes,69,No,No phone service,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,107.73,3290.87,No
C0325,Male,0,No,No,28,Yes,Yes,No,No internet service,No,Yes,No,No,Yes,One year,No,Electronic check,107.34,411.72,No
C0326,Male,1,Yes,Yes,61,No,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,One year,No,Mailed check,91.58,7732.56,No
C0327,Male,0,Yes,Yes,31,Yes,No phone service,No,No,Yes,No,Yes,No,No internet service,Two year,No,Electronic check,115.6,4226.57,No
C0328,Male,1,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),36.22,3877.88,No
C0329,Female,0,Yes,No,63,Yes,No,DSL,No,No,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,114.93,4387.65,No
C0330,Female,0,Yes,No,14,No,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.55,6754.02,No
C0331,Male,1,No,No,20,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),74.67,1921.96,Yes
C0332,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,No internet service,One year,No,Credit card (automatic),27.2,6039.38,No
C0333,Female,1,No,No,64,No,Yes,DSL,Yes,No internet service,No,Yes,No,No internet service,Two year,No,Bank transfer (automatic),75.94,6046.75,No
C0334,Male,1,No,Yes,66,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),57.79,7223.91,No
C0335,Female,1,No,Yes,31,Yes,Yes,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),26.32,91.65,Yes
C0336,Female,1,Yes,No,54,No,No,No,No,No,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),84.11,1463.29,No
C0337,Male,0,No,Yes,24,No,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,One year,No,Electronic check,92.58,4013.42,No
C0338,Male,1,Yes,No,53,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,No internet service,One year,No,Electronic check,35.77,7232.28,Yes
C0339,Female,0,Yes,No,36,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,88.83,8204.12,No
C0340,Female,1,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),36.26,5063.68,No
C0341,Male,0,Yes,Yes,30,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,One year,No,Credit card (automatic),32.01,1817.32,No
C0342,Female,0,No,Yes,34,No,No,No,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),33.03,1583.65,Yes
C0343,Female,1,No,No,19,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),79.11,5441.76,No
C0344,Female,0,No,No,27,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,97.44,1799.81,Yes
C0345,Male,1,Yes,No,36,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No,No,Two year,No,Bank transfer (automatic),78.88,4709.29,No
C0346,Female,1,Yes,No,4,Yes,No,DSL,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,100.55,7098.87,No
C0347,Female,1,No,Yes,11,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),78.33,3324.45,Yes
C0348,Male,1,Yes,Yes,55,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,99.33,3228.2,No
C0349,Male,1,No,No,25,No,No phone service,No,No internet service,No,Yes,No,No,No internet service,One year,Yes,Electronic check,117.61,324.54,No
C0350,Female,0,No,Yes,44,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),57.88,2173.15,No
C0351,Male,0,No,No,41,No,Yes,No,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),33.29,5940.06,No
C0352,Male,0,No,Yes,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),31.81,3074.84,No
C0353,Male,1,Yes,No,30,Yes,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),78.94,1360.69,No
C0354,Female,0,Yes,No,35,No,No phone service,No,No,No,No,No internet service,No,No internet service,Two year,No,Electronic check,73.8,915.12,No
C0355,Female,0,Yes,Yes,59,No,No,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Two year,No,Bank transfer (automatic),36.79,824.24,No
C0356,Male,0,Yes,Yes,69,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),107.97,5608.77,No
C0357,Female,0,Yes,No,19,No,Yes,DSL,No,Yes,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),115.59,5214.26,No
